Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
384,-0.1908,-0.1450,-0.1603,0.12007483,-0.10460160,0.98711805,15.99951,15.99951,15.11230
386,0.3664,-0.1298,-0.2061,0.15016996,-0.08137262,0.98526926,15.99951,15.99951,15.11230
388,0.4656,-0.0916,-0.1221,0.15890990,-0.06004395,0.98543205,15.99951,15.99951,15.11230
390,0.4122,0.0305,-0.0534,0.17023627,-0.01735696,0.98524227,15.99951,15.99951,15.11230
392,0.0076,-0.1069,-0.2824,0.18376567,0.00982873,0.98288116,15.99951,15.99951,15.11230
394,-0.0763,-0.1145,-0.5038,0.19984097,0.02617558,0.97947483,15.99951,15.99951,15.11230
396,0.0916,-0.0992,-0.4504,0.20434210,0.05273846,0.97743129,15.99951,15.99951,15.11230
398,0.1908,-0.1527,-0.3893,0.20701527,0.07141709,0.97566852,15.99951,15.99951,15.11230
400,0.1298,-0.2366,-0.4656,0.21538770,0.11007527,0.97019691,15.99951,15.99951,15.11230
402,-0.2137,-0.3359,-0.6565,0.22514867,0.13359558,0.96506586,15.99951,15.99951,15.11230
404,-0.5267,-0.1298,-0.8702,0.22367157,0.13639032,0.96499900,15.99951,15.99951,15.11230
406,-0.4580,-0.2748,-0.9008,0.21227660,0.13190913,0.96823301,15.99951,15.99951,15.11230
408,-0.2366,-0.2977,-0.8702,0.21052315,0.13431972,0.96830024,15.99951,15.99951,15.11230
410,0.4580,-0.3817,-0.8092,0.21204359,0.16577277,0.96308889,15.99951,15.99951,15.11230
412,0.5573,-0.6641,-1.0076,0.22772786,0.21532325,0.94961328,15.99951,15.99951,15.11230
414,0.1603,-0.7099,-1.1756,0.23769283,0.23059449,0.94356231,15.99951,15.99951,15.11230
416,-0.9237,-0.1298,-1.2137,0.22283768,0.19424992,0.95522480,15.99951,15.99951,15.11230
418,-0.7786,0.0382,-1.0687,0.20761327,0.17309445,0.96268577,15.99951,15.99951,15.11230
420,0.0916,0.1603,-0.8092,0.17624258,0.16280236,0.97074594,15.99951,15.99951,15.11230
422,0.4504,0.2061,-0.8244,0.14733853,0.18736304,0.97108182,15.99951,15.99951,15.11230
424,0.4885,0.1679,-0.8626,0.13364417,0.20341796,0.96983652,15.99951,15.99951,15.11230
426,0.3435,0.1679,-0.8702,0.10296182,0.23205766,0.96722698,15.99951,15.99951,15.11230
428,-0.1298,0.3053,-0.7252,0.06300570,0.23555550,0.96972923,15.99951,15.99951,15.11230
430,-0.3130,0.4733,-0.4809,0.01309299,0.21028206,0.97755174,15.99951,15.99951,15.11230
432,0.0076,0.3359,-0.1679,-0.03363594,0.18933704,0.98133840,15.99951,15.99951,15.11230
434,0.2214,0.0992,0.0000,-0.04601765,0.18723931,0.98116836,15.99951,15.99951,15.11230
436,0.4198,-0.1985,0.3359,-0.04797200,0.19677649,0.97922039,15.99951,15.99951,15.11230
438,0.2214,0.2748,0.7099,-0.05559866,0.20322408,0.97750577,15.99951,15.99951,15.11230
440,-0.4122,1.0992,0.8092,-0.09833446,0.18533685,0.97772016,15.99951,15.99951,15.11230
442,-1.3053,1.3740,0.3817,-0.16851634,0.10903300,0.97963447,15.99951,15.99951,15.11230
444,-1.2290,0.7939,0.4504,-0.19509243,0.06157918,0.97879085,15.99951,15.99951,15.11230
446,-0.6947,-0.4733,0.9313,-0.17972593,-0.00533687,0.98363027,15.99951,15.99951,15.11230
448,0.1069,-0.4351,0.9618,-0.13931304,-0.02979275,0.98971271,15.99951,15.99951,15.11230
450,-0.0992,-0.0229,0.8550,-0.11703217,-0.03682587,0.99234361,15.99951,15.99951,15.11230
452,-0.3588,0.1450,0.8779,-0.11993126,-0.07246002,0.99003057,15.99951,15.99951,15.11230
454,-0.2672,-0.1832,1.0916,-0.11516607,-0.08825271,0.98936214,15.99951,15.99951,15.11230
