Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
950,-3.6250,5.5625,2.4375,0.12338566,0.18558835,0.94935588,15.99951,15.99951,15.11230
952,2.3125,-1.5000,-2.4375,0.10503077,0.17641090,0.94833602,15.99951,15.99951,15.11230
954,1.0625,-1.2500,-1.1250,0.05710411,0.17539118,0.91060657,15.99951,15.99951,15.11230
956,-1.3125,-1.0000,1.1875,0.09891248,0.17947005,0.91264600,15.99951,15.99951,15.11230
958,-7.0625,3.6875,1.1875,0.18048976,0.15397714,0.99320354,15.99951,15.99951,15.11230
960,-1.6875,8.5625,-1.8750,0.10503077,0.16315459,0.97994718,15.99951,15.99951,15.11230
962,6.0625,2.5000,-2.5000,0.04894638,0.16111516,0.92794179,15.99951,15.99951,15.11230
964,0.7500,0.6250,-2.5000,0.12338566,0.19374608,0.88613328,15.99951,15.99951,15.11230
966,-6.1250,0.6875,-2.3125,0.15499686,0.18762778,0.95853319,15.99951,15.99951,15.11230
968,-4.6250,2.9375,-2.0625,0.15397714,0.17233204,0.95037546,15.99951,15.99951,15.11230
970,-4.7500,4.6875,-1.2500,0.01019716,0.13562226,0.97688808,15.99951,15.99951,15.11230
972,-2.8750,-0.0625,3.4375,0.02651262,0.13664197,0.95853319,15.99951,15.99951,15.11230
974,-1.4375,-5.6875,-1.1250,0.16315459,0.14377998,0.98300647,15.99951,15.99951,15.11230
976,0.1250,0.6250,-1.6875,0.15601657,0.16621374,0.98708524,15.99951,15.99951,15.11230
978,3.8125,-0.1250,-2.9375,0.10605049,0.19374608,0.92998113,15.99951,15.99951,15.11230
980,0.5000,-1.4375,-0.8125,0.09075474,0.18762778,0.89531078,15.99951,15.99951,15.11230
982,-9.7500,-2.8125,-4.5000,0.10299134,0.13664197,0.97790784,15.99951,15.99951,15.11230
984,-4.6250,-1.4375,-4.8750,0.12644481,0.13970111,1.02277529,15.99951,15.99951,15.11230
986,5.1875,1.6250,-2.6250,0.03670978,0.14072083,0.96159238,15.99951,15.99951,15.11230
988,4.2500,0.6250,1.8125,0.11522793,0.20598266,0.88409395,15.99951,15.99951,15.11230
990,0.2500,-1.5000,-0.3125,0.13970111,0.19068693,0.88103485,15.99951,15.99951,15.11230
992,-8.8125,-1.6250,-3.5625,0.11012936,0.16111516,0.96567125,15.99951,15.99951,15.11230
994,0.6875,-5.0625,-4.9375,0.07545900,0.13766169,0.99626274,15.99951,15.99951,15.11230
996,7.0625,-3.5625,-3.0625,0.11624765,0.17641090,0.92182340,15.99951,15.99951,15.11230
998,0.0625,1.8125,-0.9375,0.10808991,0.18660806,0.89123191,15.99951,15.99951,15.11230
1000,-4.3125,2.3125,-0.2500,0.10401105,0.17539118,0.92488250,15.99951,15.99951,15.11230
1002,-4.8750,0.5625,-0.1875,0.11828708,0.16111516,0.97994718,15.99951,15.99951,15.11230
1004,5.0000,-6.0000,-5.5625,0.08769559,0.16111516,0.95751361,15.99951,15.99951,15.11230
1006,4.6250,-4.0625,-3.6250,0.12032650,0.21108124,0.86879825,15.99951,15.99951,15.11230
1008,-6.8125,-1.5625,-2.7500,0.13664197,0.20190379,0.87797555,15.99951,15.99951,15.11230
1010,-8.8750,1.4375,-2.1250,0.12032650,0.15907572,0.96669092,15.99951,15.99951,15.11230
1012,-0.4375,2.6875,-1.8125,0.04588723,0.15193771,0.96261205,15.99951,15.99951,15.11230
1014,0.1250,-1.4375,-1.7500,0.09993219,0.17947005,0.91978406,15.99951,15.99951,15.11230
1016,-2.1250,-3.0000,-1.7500,0.09687304,0.16621374,0.93507976,15.99951,15.99951,15.11230
1018,0.9375,-6.2500,-5.7500,0.13256310,0.16927289,0.94527702,15.99951,15.99951,15.11230
